S.NO,EMP ID,Names,"Closing Leave Balance - January,2026",,,,,
,,,Last Year Carry Forward Leave's,CL,SL,EL,MG,Extra EL Balance
1,JAI-042,,0,0,0,7,15,0.5
2,JAI-275,,0,0,0,0,15,0.5
3,JAI-1038,,0,0,0,3,15,0.5
4,JAI-148,,0,0.5,2,12,15,0.5
5,JAI-394,,0,0,0,5.5,15,0.5
6,JAI-502,,0,0,0,5.5,15,0.5
7,JAI-098,,0,0,0,0,15,0.5
8,JAI-265,,0,0,2,10,0,0.5
9,JAI-338,,0,0,0,9.5,15,0.5
10,JAI-517,,0,0,0,0,15,0.5
11,JAI-382,,0,0,0,4.5,15,0.5
12,JAI-248,,0,0,1.5,12,15,0.5
13,JAI-342,,0,0,0,2,15,0.5
14,JAI-880,,0,0,0,2,0,0.5
15,JAI-494,,0,0.5,1,8.3,15,0.5
16,JAI-1153,,0,0,0,4.5,15,0.5
17,JAI-470,,0,0,0,0,0,0.5
18,JAI-333,,0,0,0,6.5,15,0.5
19,JAI-277,,0,0,0,0,15,0.5
20,JAI-725,,0,0,0,10,15,0.5
21,JAI-487,,0,0,0,2.3,15,0.5
22,JAI-805,,0,0,0,0,15,0.5
23,JAI-892,,0,0,0,2.5,15,0.5
24,JAI-060,,0,0,0,1,15,0.5
25,JAI-270,,4,5,5,12,15,0.5
26,JAI-757,,0,0,0,0,15,0.5
27,JAI-383,,0,0,0,3,15,0.5
28,JAI-583,,0,0,0,1,0,0.5
29,JAI-246,,0,0,0,5.5,15,0.5
30,JAI-268,,0,0.5,0.5,11,15,0.5
31,JAI-1158,,0,0,0,7.5,15,0.5
32,JAI-321,,0,0,4,12,15,0.5
33,JAI-173,,0,0.5,0.5,6,15,0.5
34,JAI-1145,,0,0,0,5.8,0,0.5
35,JAI-301,,0,0,0,0,0,0.5
36,JAI-374,,0,1,5,12,15,0.5
37,JAI-732,,0,0,0,10.5,15,0.5
38,JAI-1095,,0,0.5,0.5,1,15,0.5
39,JAI-542,,0,0.5,0.5,1,15,0.5
40,JAI-1094,,0,0.5,0.5,4.5,15,0.5
41,JAI-1246,,0,0,1,2,0,0.5
42,JAI-1251,,2,5,5,12,15,0.5
43,JAI-1280,,0,0,0,2.5,15,0.5
44,JAI-1287,,0,0,0,9,15,0.5
45,JAI-1264,,0,0.5,1,7,15,0.5
46,JAI-1259,,0,0.5,0.5,7,15,0.5
47,JAI-1226,,0,0,0,0,15,0.5
48,JAI-486,,0,0,0,5.5,15,0.5
49,JAI-1284,,0,0,0,0,15,0.5
50,JAI-906,,0,0,2,12,15,0.5
51,JAI-468,,0,0,0,0,15,0.5
52,JAI-469,,0,0,0,3,15,0.5
53,JAI-464,,0,0,0,2,15,0.5
54,JAI-1314,,0,0.5,0.5,10,15,0.5
55,JAI-1316,,0,0,0,5,15,0.5
56,JAI-317,,0,0.5,0.5,10.5,15,0.5
57,JAI-308,,0,0,0.5,10.5,15,0.5
58,JAI-471,,0,0,0,8.5,15,0.5
59,JAI-891,,0,0,0,6,15,0.5
60,JAI-306,,0,0.5,3,11,15,0.5
61,JAI-926,,0,4,5,12,15,0.5
62,JAI-1325,,0,0,0,0,6,0.5
63,JAI-1015,,0,0,4,12,15,0.5
64,JAI-833,,0,0,0,0,15,0.5
65,JAI-564,,0,0,3.5,12,15,0.5
66,JAI-1121,,0,0,0,0,15,0.5
67,JAI-1139,,0,0,0,0,15,0.5
68,JAI-1136,,0,0,0,1,15,0.5
69,JAI-081,,0,0,3.5,12,15,0.5
70,JAI-1029,,0,0,0,0,0,0.5
71,JAI-1149,,0,0,0,6,15,0.5
72,JAI-314,,0,0,0,6,15,0.5
73,JAI-1381,,0,0,0,7,15,0.5
74,JAI-144,,0,0,5,12,15,0.5
75,JAI-310,,0,0,0,0,0,0
76,JAI-264,,0,0,0,0,0,0
77,JAI-260,,0,0,0,0,0,0
78,JAI-377,,0,0,0,0,0,0
79,JAI-747,,0,0,0,0,0,0
80,JAI-860,,0,0,0,2,15,0.5
81,JAI-796,,0,0,3,10,15,0.5